,carat,cut,cut_ord,color,clarity,clarity_ord,Predicted Price,Regression Variables,,,
163,1.04,Premium,4,G,SI2,2,10289.92,,,,
164,2.01,Very Good,3,H,SI2,2,18292.43,,,,
165,0.71,Premium,4,E,SI1,3,7967.63,,,,
166,0.3,Very Good,3,G,VVS2,6,5722.2,,,,
167,1.74,Ideal,5,J,VS1,4,17245.12,,,,
168,1.06,Ideal,5,E,SI1,3,11070.28,,,,
169,0.7,Fair,1,G,SI1,3,7409.2,,,,
170,1.52,Very Good,3,G,VS2,5,15532.06,,,,
171,0.41,Ideal,5,F,VS2,5,6509.83,,,,
172,1.22,Ideal,5,G,VS1,4,12870.36,,,,
173,0.37,Premium,4,E,SI1,3,5107.21,,,,
174,0.3,Premium,4,H,SI1,3,4518.3,,,,
175,0.54,Premium,4,E,SI1,3,6537.42,,,,
176,0.37,Ideal,5,E,VS2,5,6173.31,,,,
177,1.5,Premium,4,E,VVS2,6,15975.9,,,,
178,0.62,Very Good,3,G,VS2,5,7960.36,,,,
179,1.33,Premium,4,H,SI2,2,12729.69,,,,
180,1.51,Very Good,3,J,SI2,2,14085.93,,,,
181,0.31,Ideal,5,H,VVS1,7,6576.53,,,,
182,0.38,Ideal,5,G,SI2,2,4895.44,,,,
183,0.31,Ideal,5,I,VS1,4,5214.53,,,,
184,0.34,Premium,4,G,VVS2,6,6216.82,,,,
185,0.75,Good,2,E,SI2,2,7533.95,,,,
186,0.28,Very Good,3,F,VVS2,6,5553.94,,,,
187,1.23,Very Good,3,G,SI2,2,11730.29,,,,
188,0.75,Good,2,E,SI1,3,7987.95,,,,
189,1.11,Ideal,5,H,VVS2,6,12852.93,,,,
190,2.07,Very Good,3,I,SI1,3,19251.21,,,,
191,1,Premium,4,D,SI1,3,10407.4,,,,
192,0.79,Ideal,5,F,SI1,3,8798.77,,,,
193,0.31,Ideal,5,G,VS1,4,5214.53,,,,
194,0.31,Premium,4,I,VVS1,7,6418.43,,,,
195,1,Ideal,5,H,SI1,3,10565.5,,,,
196,0.41,Premium,4,G,VS1,4,5897.73,,,,
197,0.51,Premium,4,E,SI1,3,6285.03,,,,
198,1.91,Very Good,3,F,SI1,3,17905.13,,,,
199,1.19,Very Good,3,E,VS2,5,12755.77,,,,
200,0.32,Premium,4,F,VVS1,7,6502.56,,,,
201,0.55,Ideal,5,F,SI2,2,6325.65,,,,
202,0.32,Ideal,5,F,IF,8,7114.66,,,,
203,1.09,Ideal,5,G,SI2,2,10868.67,,,,
204,0.9,Very Good,3,I,VVS1,7,11224,,,,
205,0.74,Ideal,5,E,VS2,5,9286.12,,,,
206,0.9,Very Good,3,G,VS2,5,10316,,,,
207,0.76,Ideal,5,D,VS1,4,9000.38,,,,
208,0.73,Ideal,5,D,SI2,2,7839.99,,,,
209,0.52,Good,2,G,SI1,3,6052.96,,,,
210,0.73,Premium,4,E,SI1,3,8135.89,,,,
211,0.76,Premium,4,I,VS2,5,9296.28,,,,
212,0.48,Good,2,F,VS1,4,6170.44,,,,
213,1.5,Fair,1,D,SI1,3,14139.6,,,,
214,0.37,Very Good,3,F,SI1,3,4949.11,,,,
215,0.43,Premium,4,E,VS2,5,6519.99,,,,
216,0.58,Ideal,5,E,VVS2,6,8394.04,,,,
217,1.01,Ideal,5,D,SI1,3,10649.63,,,,
218,0.28,Ideal,5,H,VS1,4,4962.14,,,,
219,0.53,Very Good,3,G,VS1,4,6749.19,,,,
220,0.9,Very Good,3,I,VS2,5,10316,,,,
221,0.3,Ideal,5,F,VVS1,7,6492.4,,,,
222,1.51,Premium,4,D,SI2,2,14244.03,,,,
223,1.01,Premium,4,G,SI2,2,10037.53,,,,
224,0.31,Ideal,5,F,VS2,5,5668.53,,,,
225,0.66,Ideal,5,D,VS2,5,8613.08,,,,
226,0.56,Premium,4,D,SI1,3,6705.68,,,,
227,0.28,Very Good,3,E,VVS2,6,5553.94,,,,
228,0.55,Ideal,5,F,SI2,2,6325.65,,,,
229,0.29,Ideal,5,G,IF,8,6862.27,,,,
230,0.36,Ideal,5,E,VS1,4,5635.18,,,,
231,0.31,Ideal,5,D,SI1,3,4760.53,,,,
232,0.58,Very Good,3,G,VVS2,6,8077.84,,,,
233,0.4,Premium,4,D,SI2,2,4905.6,,,,
234,0.29,Ideal,5,I,VS1,4,5046.27,,,,
235,0.62,Very Good,3,E,VS1,4,7506.36,,,,
236,0.73,Ideal,5,E,SI2,2,7839.99,,,,
237,2.01,Very Good,3,J,SI2,2,18292.43,,,,
238,0.7,Very Good,3,G,I1,1,6817.4,,,,
239,0.54,Good,2,D,SI2,2,5767.22,,,,
240,0.3,Fair,1,D,VVS2,6,5406,,,,
241,0.38,Ideal,5,H,VVS1,7,7165.44,,,,
242,0.7,Premium,4,G,VS1,4,8337.5,,,,
243,0.82,Ideal,5,E,SI2,2,8597.16,,,,
244,0.41,Ideal,5,E,VVS2,6,6963.83,,,,
245,0.64,Ideal,5,G,IF,8,9806.82,,,,
246,1.01,Very Good,3,H,VS1,4,10787.43,,,,
247,0.58,Very Good,3,I,VS2,5,7623.84,,,,
248,0.34,Ideal,5,D,VS1,4,5466.92,,,,
249,0.85,Ideal,5,E,VS1,4,9757.55,,,,
250,0.91,Good,2,G,SI2,2,8880.03,,,,
251,0.91,Premium,4,G,SI2,2,9196.23,,,,
252,0.5,Fair,1,E,VS2,5,6634.6,,,,
253,1,Premium,4,F,VS2,5,11315.4,,,,
254,1.5,Very Good,3,G,SI1,3,14455.8,,,,
255,1.26,Ideal,5,H,VS1,4,13206.88,,,,
256,0.35,Premium,4,D,SI2,2,4484.95,,,,
257,1.09,Premium,4,I,VS2,5,12072.57,,,,
258,0.3,Ideal,5,F,VS2,5,5584.4,,,,
259,0.27,Ideal,5,E,VS1,4,4878.01,,,,
260,0.32,Ideal,5,E,VVS2,6,6206.66,,,,
261,1.09,Premium,4,I,VS1,4,11618.57,,,,
262,0.4,Premium,4,F,SI1,3,5359.6,,,,
263,1.04,Ideal,5,E,VVS2,6,12264.02,,,,
264,0.51,Premium,4,E,VS2,5,7193.03,,,,
265,0.73,Ideal,5,H,SI1,3,8293.99,,,,
266,1.01,Good,2,H,SI2,2,9721.33,,,,
267,1.34,Ideal,5,G,VS2,5,14333.92,,,,
268,0.52,Ideal,5,G,VVS2,6,7889.26,,,,
269,1.21,Good,2,H,VS1,4,12311.93,,,,
270,0.35,Ideal,5,F,VS1,4,5551.05,,,,
271,0.7,Ideal,5,G,VVS2,6,9403.6,,,,
272,0.7,Premium,4,G,SI1,3,7883.5,,,,
273,0.42,Very Good,3,G,SI1,3,5369.76,,,,
274,0.38,Premium,4,D,SI2,2,4737.34,,,,
275,0.3,Ideal,5,G,VS1,4,5130.4,,,,
276,0.91,Premium,4,F,SI2,2,9196.23,,,,
277,1.11,Premium,4,G,SI1,3,11332.83,,,,
278,0.3,Good,2,G,IF,8,6472.1,,,,
279,0.32,Ideal,5,F,VVS1,7,6660.66,,,,
280,0.42,Ideal,5,F,VS2,5,6593.96,,,,
281,0.54,Ideal,5,G,VVS2,6,8057.52,,,,
282,2.03,Very Good,3,I,VS2,5,19822.69,,,,
283,0.4,Good,2,F,VS2,5,5951.4,,,,
284,0.57,Premium,4,H,VS1,4,7243.81,,,,
285,0.72,Ideal,5,J,VVS1,7,10025.86,,,,
286,1.3,Premium,4,I,SI1,3,12931.3,,,,
287,1.01,Premium,4,E,VS2,5,11399.53,,,,
288,0.39,Ideal,5,G,SI2,2,4979.57,,,,
289,0.43,Ideal,5,F,VVS2,6,7132.09,,,,
290,0.77,Premium,4,I,SI1,3,8472.41,,,,
291,0.53,Ideal,5,F,VVS1,7,8427.39,,,,
292,0.65,Very Good,3,I,IF,8,9574.75,,,,
293,0.33,Premium,4,D,SI2,2,4316.69,,,,
294,1.02,Premium,4,F,SI2,2,10121.66,,,,
295,0.31,Premium,4,G,VVS1,7,6418.43,,,,
296,0.36,Ideal,5,F,SI1,3,5181.18,,,,
297,0.3,Very Good,3,H,VVS1,7,6176.2,,,,
298,0.9,Very Good,3,H,SI2,2,8954,,,,
299,1.05,Ideal,5,G,SI1,3,10986.15,,,,
300,1.5,Good,2,D,SI2,2,13843.7,,,,
301,0.9,Very Good,3,H,VS1,4,9862,,,,
302,0.72,Very Good,3,E,SI1,3,7893.66,,,,
303,0.42,Premium,4,G,VS2,5,6435.86,,,,
304,0.53,Premium,4,I,VVS1,7,8269.29,,,,
305,0.51,Very Good,3,F,SI1,3,6126.93,,,,
306,0.51,Ideal,5,H,VS2,5,7351.13,,,,
307,0.86,Premium,4,F,SI2,2,8775.58,,,,
308,1.51,Premium,4,H,SI1,3,14698.03,,,,
309,0.37,Ideal,5,F,VS1,4,5719.31,,,,
310,0.56,Premium,4,D,SI1,3,6705.68,,,,
311,1.59,Premium,4,I,VS2,5,16279.07,,,,
312,0.73,Ideal,5,H,SI1,3,8293.99,,,,
313,0.31,Ideal,5,F,IF,8,7030.53,,,,
314,0.4,Very Good,3,F,SI1,3,5201.5,,,,
315,0.52,Ideal,5,F,VS2,5,7435.26,,,,
316,1.04,Premium,4,H,SI1,3,10743.92,,,,
317,1,Ideal,5,J,VS1,4,11019.5,,,,
318,0.78,Ideal,5,F,SI1,3,8714.64,,,,
319,0.76,Ideal,5,J,SI1,3,8546.38,,,,
320,0.71,Premium,4,E,VS2,5,8875.63,,,,
321,0.9,Ideal,5,G,SI2,2,9270.2,,,,
322,1.01,Very Good,3,E,SI2,2,9879.43,,,,
323,0.81,Very Good,3,G,SI2,2,8196.83,,,,
324,0.36,Ideal,5,F,VVS2,6,6543.18,,,,
325,0.61,Ideal,5,I,SI2,2,6830.43,,,,
326,0.51,Ideal,5,E,VS2,5,7351.13,,,,
327,0.24,Ideal,5,E,VVS2,6,5533.62,,,,
328,0.52,Ideal,5,H,IF,8,8797.26,,,,
329,1,Premium,4,H,SI2,2,9953.4,,,,
330,0.31,Ideal,5,H,VVS2,6,6122.53,,,,
331,1.08,Premium,4,H,VS1,4,11534.44,,,,
332,0.7,Good,2,D,VS2,5,8475.3,,,,
333,0.3,Very Good,3,F,VVS1,7,6176.2,,,,
334,0.3,Ideal,5,H,SI1,3,4676.4,,,,
335,0.7,Very Good,3,G,VS2,5,8633.4,,,,
336,0.72,Ideal,5,E,SI2,2,7755.86,,,,
337,0.3,Ideal,5,H,VVS1,7,6492.4,,,,
338,0.76,Premium,4,F,SI1,3,8388.28,,,,
339,0.41,Very Good,3,D,SI1,3,5285.63,,,,
340,0.41,Premium,4,E,SI1,3,5443.73,,,,
341,0.4,Very Good,3,D,SI2,2,4747.5,,,,
342,1.54,Good,2,E,SI1,3,14634.22,,,,
343,0.55,Ideal,5,E,VVS2,6,8141.65,,,,
344,0.57,Ideal,5,H,SI1,3,6947.91,,,,
345,0.53,Ideal,5,E,VS2,5,7519.39,,,,
346,0.33,Very Good,3,E,VS2,5,5520.59,,,,
347,1.53,Premium,4,D,SI2,2,14412.29,,,,
348,0.52,Ideal,5,H,SI1,3,6527.26,,,,
349,1.01,Very Good,3,F,VVS1,7,12149.43,,,,
350,0.91,Very Good,3,D,SI1,3,9492.13,,,,
351,0.54,Premium,4,F,VS2,5,7445.42,,,,
352,0.53,Premium,4,H,SI1,3,6453.29,,,,
353,1.02,Premium,4,G,VS2,5,11483.66,,,,
354,0.3,Premium,4,H,VS1,4,4972.3,,,,
355,2.05,Ideal,5,H,SI2,2,18945.15,,,,
356,0.3,Premium,4,D,VS2,5,5426.3,,,,
357,0.3,Premium,4,H,VS1,4,4972.3,,,,
358,0.9,Very Good,3,J,VS1,4,9862,,,,
359,2.25,Ideal,5,I,SI2,2,20627.75,,,,
360,0.42,Ideal,5,G,VVS1,7,7501.96,,,,
361,0.7,Good,2,F,SI2,2,7113.3,,,,
362,1.2,Very Good,3,I,SI1,3,11931.9,,,,
363,1.52,Premium,4,G,SI1,3,14782.16,,,,
364,0.33,Ideal,5,G,VVS1,7,6744.79,,,,
365,1.21,Premium,4,J,VVS2,6,13536.13,,,,
366,0.23,Very Good,3,E,VVS2,6,5133.29,,,,
367,0.31,Ideal,5,H,VVS2,6,6122.53,,,,
368,0.5,Ideal,5,F,SI1,3,6359,,,,
369,1.01,Very Good,3,H,SI1,3,10333.43,,,,
370,0.76,Ideal,5,H,VS2,5,9454.38,,,,
371,0.31,Premium,4,E,VVS2,6,5964.43,,,,
372,1.77,Ideal,5,D,SI2,2,16589.51,,,,
373,0.4,Very Good,3,G,SI1,3,5201.5,,,,
374,0.51,Very Good,3,G,VS2,5,7034.93,,,,
375,0.54,Ideal,5,F,VVS1,7,8511.52,,,,
376,0.3,Ideal,5,F,SI1,3,4676.4,,,,
377,1.06,Ideal,5,I,SI2,2,10616.28,,,,
378,0.81,Ideal,5,F,VS1,4,9421.03,,,,
379,0.58,Ideal,5,D,SI1,3,7032.04,,,,
380,0.53,Good,2,H,SI1,3,6137.09,,,,
381,0.3,Very Good,3,E,SI1,3,4360.2,,,,
382,1.09,Premium,4,F,SI1,3,11164.57,,,,
383,1.17,Ideal,5,I,SI2,2,11541.71,,,,
384,1.53,Ideal,5,I,VS2,5,15932.39,,,,
385,1.03,Good,2,E,SI2,2,9889.59,,,,
386,0.35,Premium,4,I,SI1,3,4938.95,,,,
387,1,Very Good,3,D,VS2,5,11157.3,,,,
388,2.01,Premium,4,G,SI2,2,18450.53,,,,
389,0.32,Premium,4,G,VS1,4,5140.56,,,,
390,1.01,Ideal,5,F,SI2,2,10195.63,,,,
391,0.4,Very Good,3,D,VS2,5,6109.5,,,,
392,1.12,Premium,4,D,SI2,2,10962.96,,,,
393,1.24,Very Good,3,H,VVS2,6,13630.42,,,,
394,0.52,Ideal,5,E,VS2,5,7435.26,,,,
395,0.82,Very Good,3,F,VVS2,6,10096.96,,,,
396,1.05,Good,2,G,SI2,2,10057.85,,,,
397,1,Very Good,3,F,VS2,5,11157.3,,,,
398,0.81,Very Good,3,J,SI1,3,8650.83,,,,
399,1.02,Very Good,3,E,VS1,4,10871.56,,,,
400,0.75,Fair,1,J,VS1,4,8283.85,,,,
401,0.4,Very Good,3,D,SI2,2,4747.5,,,,
402,2.04,Premium,4,F,SI2,2,18702.92,,,,
403,0.52,Ideal,5,E,VS2,5,7435.26,,,,
404,0.8,Very Good,3,F,VS2,5,9474.7,,,,
405,1.01,Very Good,3,F,VS1,4,10787.43,,,,
406,0.43,Premium,4,E,SI1,3,5611.99,,,,
407,1.13,Premium,4,G,VVS1,7,13317.09,,,,
408,0.4,Ideal,5,F,IF,8,7787.7,,,,
409,1.05,Premium,4,G,VS1,4,11282.05,,,,
410,0.41,Good,2,E,VS2,5,6035.53,,,,
411,1.01,Ideal,5,G,VS2,5,11557.63,,,,
412,0.7,Fair,1,G,SI1,3,7409.2,,,,
413,0.55,Ideal,5,G,VVS1,7,8595.65,,,,
414,0.53,Ideal,5,E,VS2,5,7519.39,,,,
415,1.16,Ideal,5,F,VS2,5,12819.58,,,,
416,0.3,Ideal,5,F,VS1,4,5130.4,,,,
417,0.7,Ideal,5,F,VS2,5,8949.6,,,,
418,0.33,Very Good,3,F,VVS2,6,5974.59,,,,
419,0.71,Premium,4,E,VS2,5,8875.63,,,,
420,0.71,Premium,4,E,VS1,4,8421.63,,,,
421,0.33,Ideal,5,G,IF,8,7198.79,,,,
422,1.58,Ideal,5,I,SI1,3,15445.04,,,,
423,1.63,Premium,4,I,VS1,4,16161.59,,,,
424,0.38,Ideal,5,E,IF,8,7619.44,,,,
425,1.29,Premium,4,I,VS1,4,13301.17,,,,
426,1.1,Very Good,3,I,SI2,2,10636.6,,,,
427,1.73,Premium,4,F,SI2,2,16094.89,,,,
428,1.01,Fair,1,F,SI1,3,10017.23,,,,
429,0.41,Very Good,3,E,SI2,2,4831.63,,,,
430,0.9,Premium,4,I,VS2,5,10474.1,,,,
431,0.3,Ideal,5,I,VS1,4,5130.4,,,,
432,0.27,Ideal,5,E,VS1,4,4878.01,,,,
433,0.28,Very Good,3,H,SI1,3,4191.94,,,,
434,1.17,Ideal,5,H,VS2,5,12903.71,,,,
435,1.02,Premium,4,E,SI1,3,10575.66,,,,
436,0.34,Ideal,5,E,VVS1,7,6828.92,,,,
437,0.45,Good,2,F,VS1,4,5918.05,,,,
438,0.75,Ideal,5,G,SI2,2,8008.25,,,,
439,0.31,Ideal,5,F,VVS2,6,6122.53,,,,
440,0.38,Ideal,5,D,VVS2,6,6711.44,,,,
441,0.39,Premium,4,G,VS2,5,6183.47,,,,
442,0.54,Ideal,5,G,SI1,3,6695.52,,,,
443,0.7,Premium,4,D,SI1,3,7883.5,,,,
444,0.31,Ideal,5,E,IF,8,7030.53,,,,
445,1.21,Ideal,5,F,VS2,5,13240.23,,,,
446,0.33,Premium,4,G,VS1,4,5224.69,,,,
447,1.11,Very Good,3,J,VS1,4,11628.73,,,,
448,0.31,Ideal,5,F,VS2,5,5668.53,,,,
449,0.32,Very Good,3,F,VS2,5,5436.46,,,,
450,0.28,Very Good,3,E,VVS2,6,5553.94,,,,
451,2.17,Very Good,3,H,SI2,2,19638.51,,,,
452,0.35,Good,2,H,VS2,5,5530.75,,,,
453,0.57,Ideal,5,F,VVS1,7,8763.91,,,,
454,1.02,Ideal,5,I,SI1,3,10733.76,,,,
455,0.77,Ideal,5,J,VS2,5,9538.51,,,,
456,0.55,Ideal,5,F,SI2,2,6325.65,,,,
457,0.91,Premium,4,G,SI1,3,9650.23,,,,
458,1.01,Very Good,3,G,VS2,5,11241.43,,,,
459,0.33,Ideal,5,G,VVS2,6,6290.79,,,,
460,0.9,Good,2,H,VS2,5,10157.9,,,,
461,0.31,Premium,4,G,VS2,5,5510.43,,,,
462,0.3,Ideal,5,D,VS1,4,5130.4,,,,
463,0.39,Ideal,5,H,SI2,2,4979.57,,,,
464,0.63,Very Good,3,G,VS1,4,7590.49,,,,
465,0.71,Ideal,5,F,SI1,3,8125.73,,,,
466,1.02,Ideal,5,G,VS2,5,11641.76,,,,
467,0.56,Very Good,3,J,VS2,5,7455.58,,,,
468,0.53,Ideal,5,E,VS1,4,7065.39,,,,
469,0.92,Good,2,D,SI2,2,8964.16,,,,
